#SRA,BioProject,Technology,Description,Author
SRX186029,SRP015703,454,5'SAGE of Coprinopsis cinerea during fruiting body initiation (2 libraries),Wang
SRX186028,SRP015703,454,5'SAGE of Coprinopsis cinerea during fruiting body initiation (2 libraries),Wang

